R:A::C:P,0,1 3,2,4,5 6
0,0.12598425196850394,0.05339805825242718,0.041666666666666664,0.031578947368421054,0.019021739130434784
1 3,0.42913385826771655,0.3907766990291262,0.32142857142857145,0.34210526315789475,0.2554347826086957
2,0.15354330708661418,0.21601941747572814,0.24404761904761904,0.17894736842105263,0.1956521739130435
4,0.031496062992125984,0.043689320388349516,0.09523809523809523,0.08421052631578947,0.04076086956521739
5 6,0.25984251968503935,0.2961165048543689,0.2976190476190476,0.3631578947368421,0.4891304347826087
