R:A::C:P,0,1 3,2,4,5 6
0,0.022988505747126436,0.015804597701149427,0.005028735632183908,0.004310344827586207,0.005028735632183908
1 3,0.07830459770114942,0.11566091954022989,0.03879310344827586,0.04669540229885057,0.06752873563218391
2,0.028017241379310345,0.0639367816091954,0.029454022988505746,0.02442528735632184,0.05172413793103448
4,0.005747126436781609,0.01293103448275862,0.011494252873563218,0.011494252873563218,0.010775862068965518
5 6,0.04741379310344827,0.08764367816091954,0.035919540229885055,0.04956896551724138,0.12931034482758622
