R:A::C:P,0,1,2,3,4,5,6,7
0,32,19,7,3,6,5,2,0
1,87,93,38,31,49,21,40,22
2,36,48,41,37,32,29,36,16
3,17,11,15,13,12,16,13,5
4,7,4,15,11,16,8,6,6
5,15,10,10,17,14,9,11,10
6,41,31,36,46,49,58,85,45
7,8,3,0,4,2,4,1,8
