R:A::C:P,0 5 6,1,2 3 4
0 5 6,0.5357142857142857,0.10714285714285714,0.35714285714285715
1,0.45614035087719296,0.12280701754385964,0.42105263157894735
2 3 4,0.35064935064935066,0.11688311688311688,0.5324675324675324
