character,actual,predicted
Mac_LadyMacbeth,f,m
Mac_Lennox,m,m
Mac_Macbeth,m,m
Mac_Macduff,m,m
Mac_Malcolm,m,m
Mac_Ross,m,m
Oth_Brabantio,m,m
Oth_Cassio,m,m
Oth_Desdemona,f,f
Oth_Emilia,f,f
Oth_Iago,m,f
Oth_Lodovico,m,m
Oth_Othello,m,m
Oth_Roderigo,m,f
Per_Bawd,f,m
Per_Bolt,m,m
Per_Cerimon,m,m
Per_Cleon,m,m
Per_Dionyza,f,m
Per_Gower,m,m
Per_Helicanus,m,m
Per_Lysimachus,m,m
Per_Marina,f,f
Per_Pericles,m,m
Per_Simonides,m,m
Per_Thaisa,f,m
R2_Aumerle,m,f
R2_DuchessOfYork,m,m
R2_Gaunt,m,m
R2_HenryIV,m,m
R2_Mowbray,m,f
R2_Northumberland,m,m
R2_Queen,f,m
R2_RichardII,m,m
R2_York,m,m
R3_Buckingham,m,m
R3_Clarence,m,m
R3_DuchessOfYork,m,m
R3_EdwardIV,m,m
R3_Hastings,m,f
R3_HenryVII,m,m
R3_LadyAnne,f,m
R3_QueenElizabeth,f,m
R3_QueenMargaret,f,m
R3_RichardIII,m,m
R3_Stanley,m,m
Rom_Benvolio,m,m
Rom_Capulet,m,f
Rom_FriarLawrence,m,m
Rom_Juliet,f,f
Rom_LadyCapulet,f,m
Rom_Mercutio,m,m
Rom_Nurse,f,f
Rom_Paris,m,f
Rom_PrinceEscalus,m,m
Rom_Romeo,m,m
Shr_Baptista,m,f
Shr_Bianca,f,f
Shr_Biondello,m,m
Shr_Gremio,m,f
Shr_Grumio,m,m
Shr_Hortensio,m,f
Shr_Katherine,f,f
Shr_Lord,m,m
Shr_Lucentio,m,m
Shr_Petruchio,m,f
Shr_Sly,m,f
Shr_Tranio,m,m
TGV_Duke,m,m
TGV_Julia,f,f
TGV_Lance,m,m
TGV_Lucetta,f,f
TGV_Proteus,m,f
TGV_Speed,m,f
TGV_Sylvia,m,f
TGV_Valentine,m,f
TNK_Arcite,m,m
TNK_Daughter,f,f
TNK_Doctor,m,m
TNK_Emilia,f,m
TNK_Hippolyta,f,f
TNK_Jailer,m,m
TNK_Palamon,m,f
TNK_Pirithous,m,m
TNK_QUEENS.1,f,m
TNK_Schoolmaster,m,m
TNK_Theseus,m,m
TNK_Wooer,m,m
TN_AndrewAguecheek,m,f
TN_Antonio,m,m
TN_Fabian,m,m
TN_Feste,m,f
TN_Malvolio,m,f
TN_Maria,f,m
TN_Olivia,f,f
TN_Orsino,m,m
TN_Sebastian,m,f
TN_TobyBelch,m,m
TN_Viola,f,f
Tim_Alcibiades,m,m
Tim_Apemantus,m,f
Tim_Flavius,m,f
Tim_Poet,m,m
Tim_Timon,m,m
Tit_Aaron,m,m
Tit_Demetrius,m,m
Tit_Lucius,m,m
Tit_Marcus,m,m
Tit_Saturninus,m,m
Tit_Tamora,f,m
Tit_Titus,m,m
Tmp_Alonso,m,m
Tmp_Antonio,m,m
Tmp_Ariel,m,m
Tmp_Caliban,m,f
Tmp_Ferdinand,m,f
Tmp_Gonzalo,m,m
Tmp_Miranda,f,f
Tmp_Prospero,m,m
Tmp_Sebastian,m,m
Tmp_Stephano,m,m
Tmp_Trinculo,m,m
Tro_Achilles,m,m
Tro_Aeneas,m,m
Tro_Agamemnon,m,m
Tro_Ajax,m,m
Tro_Cressida,f,f
Tro_Diomedes,m,m
Tro_Hector,m,m
Tro_Nestor,m,m
Tro_Pandarus,m,f
Tro_Paris,m,m
Tro_Thersites,m,m
Tro_Troilus,m,m
Tro_Ulysses,m,m
WT_ATTENDANTS.3,m,m
WT_Antigonus,m,f
WT_Autolycus,m,m
WT_Camillo,m,f
WT_Florizell,m,f
WT_Hermione,f,f
WT_Leontes,m,m
WT_Paulina,f,f
WT_Perdita,f,f
WT_Polixenes,m,m
WT_Shepherd,m,f
WT_ShepherdsSon,m,m
Wiv_DoctorCaius,m,f
Wiv_Falstaff,m,f
Wiv_Fenton,m,m
Wiv_Host,m,f
Wiv_HughEvans,m,m
Wiv_MasterFord,m,f
Wiv_MasterPage,m,m
Wiv_MistressFord,f,f
Wiv_MistressPage,f,m
Wiv_MistressQuickly,f,m
Wiv_Shallow,m,f
Wiv_Slender,m,f
