R:A::C:P,0,1,2,3 4 5 6
0,0.43243243243243246,0.25675675675675674,0.0945945945945946,0.21621621621621623
1,0.24146981627296588,0.2650918635170604,0.10236220472440945,0.3910761154855643
2,0.14181818181818182,0.18181818181818182,0.14909090909090908,0.5272727272727272
3 4 5 6,0.13746223564954682,0.09667673716012085,0.12235649546827794,0.6435045317220544
