R:A::C:P,0,1,2,3 4 5 6
0,0.12598425196850394,0.0811965811965812,0.041666666666666664,0.021739130434782608
1,0.36220472440944884,0.43162393162393164,0.23214285714285715,0.20244565217391305
2,0.15354330708661418,0.21367521367521367,0.24404761904761904,0.19701086956521738
3 4 5 6,0.35826771653543305,0.27350427350427353,0.48214285714285715,0.5788043478260869
