R:A::C:P,0 4 5,1,2 3
0 4 5,0.5,0.36363636363636365,0.13636363636363635
1,0.3055555555555556,0.2777777777777778,0.4166666666666667
2 3,0.18181818181818182,0.13636363636363635,0.6818181818181818
