R:A::C:P,0,1 4,2,3 5 6
0,0.2153846153846154,0.11805555555555555,0.10638297872340426,0.08227848101265822
1 4,0.5384615384615384,0.5,0.4787234042553192,0.3987341772151899
2,0.13076923076923078,0.20833333333333334,0.2553191489361702,0.25316455696202533
3 5 6,0.11538461538461539,0.1736111111111111,0.1595744680851064,0.26582278481012656
