R:A::C:P,0 4,1,2,3 5,6
0 4,0.04454022988505747,0.017241379310344827,0.016522988505747127,0.021551724137931036,0.005747126436781609
1,0.10201149425287356,0.07255747126436782,0.028017241379310345,0.042385057471264365,0.028735632183908046
2,0.05244252873563218,0.035919540229885055,0.029454022988505746,0.05244252873563218,0.027298850574712645
3 5,0.04525862068965517,0.016522988505747127,0.017959770114942528,0.04525862068965517,0.017241379310344827
6,0.07471264367816093,0.02586206896551724,0.028735632183908046,0.08836206896551724,0.06321839080459771
