R:A::C:P,0,1 2,3,4 5,6
0,0.4117647058823529,0.3235294117647059,0.08823529411764706,0.14705882352941177,0.029411764705882353
1 2,0.24925816023738873,0.3768545994065282,0.11869436201780416,0.19287833827893175,0.06231454005934718
3,0.08823529411764706,0.35294117647058826,0.14705882352941177,0.2647058823529412,0.14705882352941177
4 5,0.18,0.22,0.16,0.26,0.18
6,0.16216216216216217,0.21621621621621623,0.08108108108108109,0.32432432432432434,0.21621621621621623
