R:A::C:P,0 4 5,1,2 3,6
0 4 5,0.1949685534591195,0.031446540880503145,0.05660377358490566,0.006289308176100629
1,0.18238993710691823,0.11320754716981132,0.14465408805031446,0.0
2 3,0.06918238993710692,0.031446540880503145,0.14465408805031446,0.012578616352201259
6,0.006289308176100629,0.0,0.006289308176100629,0.0
