R:A::C:P,comedy,history,tragedy
comedy,0.12695179904955872,0.0658520027155465,0.10590631364562118
history,0.05023761031907671,0.19076714188730481,0.09097080787508487
tragedy,0.07196198234894773,0.10658520027155464,0.19076714188730481
