R:A::C:P,0,1,2 6,3,4,5
0,13,7,1,0,4,2
1,14,22,9,6,4,4
2 6,4,4,9,6,2,3
3,0,0,2,2,1,0
4,1,0,2,0,1,0
5,1,0,1,1,0,0
