R:A::C:P,0 5,1,2 3,4
0 5,0.5,0.4,0.1,0.0
1,0.3055555555555556,0.2777777777777778,0.4166666666666667,0.0
2 3,0.18181818181818182,0.13636363636363635,0.6818181818181818,0.0
4,0.0,0.0,0.5,0.5
