R:A::C:P,0,1 4 6,2 5,3
0,0.3230769230769231,0.14942528735632185,0.08333333333333333,0.08571428571428572
1 4 6,0.5384615384615384,0.5287356321839081,0.5333333333333333,0.5142857142857142
2 5,0.13846153846153847,0.28735632183908044,0.3,0.2857142857142857
3,0.0,0.034482758620689655,0.08333333333333333,0.11428571428571428
