R:A::C:P,0,1 4,2 3,5
0,0.36363636363636365,0.3181818181818182,0.06060606060606061,0.6666666666666666
1 4,0.45454545454545453,0.5,0.48484848484848486,0.3333333333333333
2 3,0.18181818181818182,0.13636363636363635,0.45454545454545453,0.0
5,0.0,0.045454545454545456,0.0,0.0
