R:A::C:P,0,1 4,2 3,5
0,0.42105263157894735,0.3684210526315789,0.10526315789473684,0.10526315789473684
1 4,0.2631578947368421,0.2894736842105263,0.42105263157894735,0.02631578947368421
2 3,0.18181818181818182,0.13636363636363635,0.6818181818181818,0.0
5,0.0,1.0,0.0,0.0
