R:A::C:P,0 1,2 3 4,5 6
0 1,0.504424778761062,0.3230088495575221,0.17256637168141592
2 3 4,0.26495726495726496,0.47863247863247865,0.2564102564102564
5 6,0.21212121212121213,0.48484848484848486,0.30303030303030304
