R:A::C:P,0 4,1,2 3 6,5
0 4,0.4217687074829932,0.16326530612244897,0.3197278911564626,0.09523809523809523
1,0.37270341207349084,0.2650918635170604,0.29658792650918636,0.06561679790026247
2 3 6,0.2721354166666667,0.12630208333333334,0.4479166666666667,0.15364583333333334
5,0.3229166666666667,0.125,0.4166666666666667,0.13541666666666666
