R:A::C:P,0 1 2 6,3 5,4
0 1 2 6,0.718266253869969,0.14551083591331268,0.13622291021671826
3 5,0.48717948717948717,0.358974358974359,0.15384615384615385
4,0.42857142857142855,0.07142857142857142,0.5
