R:A::C:P,0,1,2 3,4 5 6
0,0.16911764705882354,0.08843537414965986,0.05472636815920398,0.08754208754208755
1,0.4411764705882353,0.47619047619047616,0.3283582089552239,0.2828282828282828
2 3,0.19852941176470587,0.2653061224489796,0.3582089552238806,0.2828282828282828
4 5 6,0.19117647058823528,0.17006802721088435,0.25870646766169153,0.3468013468013468
