R:A::C:P,0,1,2,3 4,5 6
0,0.4117647058823529,0.17647058823529413,0.14705882352941177,0.16176470588235295,0.10294117647058823
1,0.29646017699115046,0.1902654867256637,0.17699115044247787,0.20353982300884957,0.13274336283185842
2,0.15315315315315314,0.18018018018018017,0.21621621621621623,0.27927927927927926,0.17117117117117117
3 4,0.10344827586206896,0.08620689655172414,0.2413793103448276,0.13793103448275862,0.43103448275862066
5 6,0.19047619047619047,0.09523809523809523,0.09523809523809523,0.38095238095238093,0.23809523809523808
