R:A::C:P,0,1,2,3 4,5 6
0,0.053231939163498096,0.022813688212927757,0.019011406844106463,0.02091254752851711,0.013307984790874524
1,0.12737642585551331,0.0817490494296578,0.07604562737642585,0.08745247148288973,0.057034220532319393
2,0.03231939163498099,0.03802281368821293,0.045627376425855515,0.058935361216730035,0.03612167300380228
3 4,0.011406844106463879,0.009505703422053232,0.026615969581749048,0.015209125475285171,0.04752851711026616
5 6,0.022813688212927757,0.011406844106463879,0.011406844106463879,0.045627376425855515,0.028517110266159697
