R:A::C:P,0,1,2,3 4 5 6
0,0.3230769230769231,0.1724137931034483,0.09090909090909091,0.11009174311926606
1,0.5076923076923077,0.4827586206896552,0.5,0.41284403669724773
2,0.1076923076923077,0.27586206896551724,0.22727272727272727,0.26605504587155965
3 4 5 6,0.06153846153846154,0.06896551724137931,0.18181818181818182,0.21100917431192662
