R:A::C:P,0,1,2,3,4,5 6
0,0.12598425196850394,0.0811965811965812,0.041666666666666664,0.016853932584269662,0.031578947368421054,0.019021739130434784
1,0.36220472440944884,0.43162393162393164,0.23214285714285715,0.19101123595505617,0.2631578947368421,0.1766304347826087
2,0.15354330708661418,0.21367521367521367,0.24404761904761904,0.21910112359550563,0.17894736842105263,0.1956521739130435
3,0.06692913385826772,0.04700854700854701,0.08928571428571429,0.08426966292134831,0.07894736842105263,0.07880434782608696
4,0.031496062992125984,0.021367521367521368,0.09523809523809523,0.07303370786516854,0.08421052631578947,0.04076086956521739
5 6,0.25984251968503935,0.20512820512820512,0.2976190476190476,0.4157303370786517,0.3631578947368421,0.4891304347826087
