character,AA,AE,AH,AO,AW,AY,B,CH,D,DH,EH,ER,EY,F,G,HH,IH,IY,JH,K,L,M,N,NG,OW,OY,P,R,S,SH,T,TH,UH,UW,V,W,Y,Z,ZH
1H4_Archbishop,-0.8229489308220251,-0.8729467864397246,-0.7365800439329675,-0.799814658306805,-0.7472677949948145,-0.8072430945024087,-0.8575559994260505,-0.8335930473171836,-0.7907387757043273,-0.7306254722737756,-0.7385630021510076,-0.7815913137497151,-0.8040885456186341,-0.7775501152114569,-0.785286831698347,-0.8544997779166106,-0.8000244057486487,-0.8948265768893946,-0.836792838335749,-0.7353245947473461,-0.8439775684946804,-0.7593407634659567,-0.7870397986713075,-0.8252826287032798,-0.8398096577899931,-0.8426595268828982,-0.7692680266053656,-0.773562477891302,-0.794799696645804,-0.7895236712975645,-0.7916759142343082,-0.8309930658361583,-0.8188833840071883,-0.7465947094919512,-0.8162744787753278,-0.7834067205771835,-0.848426658962194,-0.7997574433373881,-0.7258254324969754
1H4_Blunt,-0.7102177463810418,-0.7252177852787804,-0.7365800439329675,-0.799814658306805,-0.725708631600204,-0.8149422218150316,-0.7975303240973258,-0.556513222811087,-0.7108007027506111,-0.7178595379735633,-0.7237372474420302,-0.8009774050587558,-0.7625841456913307,-0.7887674039209357,-0.6898033851888536,-0.8236256376833057,-0.7870378828954885,-0.7985913523512677,-0.6735711799677755,-0.7818874898121269,-0.7876887322855177,-0.8085744407946099,-0.7803346987294454,-0.6851260011236224,-0.8697277757740387,-0.6613897449371585,-0.7411333475433572,-0.7832298315330419,-0.7202276009997771,-0.7024553898887392,-0.7576721118584198,-0.7568211212335421,-0.7411479391899489,-0.7465947094919512,-0.7694965716821858,-0.8391526953089402,-0.702531447273885,-0.8318130073543776,-0.7258254324969754
1H4_Douglas,-0.672640684900714,-0.7416321187411076,-0.7365800439329675,-0.7879600145530254,-0.5101169976540991,-0.6994553121256887,-0.7375046487686011,-0.8335930473171836,-0.7557658687870764,-0.5965831621215458,-0.7608016342144738,-0.8300565420223166,-0.8317581455701697,-0.7887674039209357,-0.7614159700709736,-0.7927514974500007,-0.6874745410212599,-0.8054652969611339,-0.7823856188797579,-0.6701365416566532,-0.7426576633181875,-0.7778033924642017,-0.7602193989038591,-0.5449693735439651,-0.6752600088777424,-0.8426595268828982,-0.8255373847293825,-0.739726740145212,-0.8146855888180778,-0.818546431767173,-0.7372698304328869,-0.6084772320283095,-0.8577511064158079,-0.8706979582618907,-0.7110241878157583,-0.746242737422679,-0.7937159545790782,-0.7677018793203985,-0.1999336374110467
1H4_Falstaff,3.29800214485392,4.043146085527246,2.7744529920129932,2.6854506053043945,3.7370381910841686,3.296391763125576,2.996092356678074,1.7788738694545851,2.736528693378398,2.8374531646355794,2.2933038358348856,2.07785715433377,2.640776648347548,3.182152799234556,3.583080846110975,2.7166091090689903,2.4206332618350936,2.6796246202410354,1.774753695551828,2.691704482020515,2.8316834359636456,2.45315668222867,2.9041177193237635,2.930914990431538,2.540937674407158,2.0576569842489376,2.71943217708368,2.542339821225512,1.845052489223547,1.851547531436804,2.778723335233966,3.2484638873077354,3.2233597464892547,2.2629090731790806,3.171542100915027,2.356949855978447,1.485896728050752,2.2535350292808687,0.32595815767488195
1H4_Gadshill,-0.7728461821815881,-0.6185246177736543,-0.7503921329807486,-0.8116693020605846,-0.639471978021762,-0.8072430945024087,-0.8095354591630708,-0.6752617190279855,-0.8157194235023636,-0.6348809650221829,-0.7904531436324288,-0.7040469485135529,-0.5827317460063492,-0.7551155377924993,-0.7136742468162269,-0.803042877527769,-0.7870378828954885,-0.7985913523512677,-0.7823856188797579,-0.5863233305400478,-0.7651731978018527,-0.7224155054694668,-0.7233413492236177,-0.5449693735439651,-0.7201371858538108,-0.6613897449371585,-0.7411333475433572,-0.773562477891302,-0.7848567505596671,-0.7024553898887392,-0.7610724920960087,-0.8680790381374665,-0.7411479391899489,-0.7259108346969613,-0.7694965716821858,-0.7926977163658097,-0.7937159545790782,-0.7677018793203985,-0.7258254324969754
1H4_Glendower,-0.522332438979403,-0.5200386169996916,-0.5072993657398008,-0.5034485644623152,-0.6179128146271515,-0.5531718931858544,-0.6174532981111518,-0.5960960548833865,-0.5309400386047498,-0.5774342606712273,-0.6125440871246991,-0.5780373550047891,-0.5273925461032781,-0.6429426506977114,-0.5465782154246135,-0.6075066560501713,-0.6008977220001915,-0.4961377895171543,-0.7279783994237667,-0.5118226984363987,-0.5231312021024529,-0.5500976348191803,-0.5121307010549625,-0.34875009493244474,-0.7201371858538108,-0.8426595268828982,-0.4738538964542771,-0.5705480514147623,-0.6555984514398872,-0.06395465955735338,-0.6012546209293335,-0.49721931512438516,-0.6634124943727097,-0.5500978989395471,-0.4771346523500483,-0.5511318258615303,-0.3742672209751894,-0.5112573671844819,-0.1999336374110467
1H4_HenryIV,0.7928647128320689,0.7192435594060055,1.1667258268512708,0.8124168922072192,1.3008527274931825,0.44771465745511746,0.7751423695152609,1.8184567015268847,1.2526782141750419,0.7949036766016017,1.0034631761538455,0.9340777671003759,0.4825478521277712,0.7143492831492222,0.5992231426893071,0.8950348353040009,0.8752370423090238,1.0848694707520743,0.9042381842559689,0.6429370991701633,1.1542761169305964,0.5884311534059269,1.194317234148935,0.15581376435432182,0.596260005444195,0.9700382925744994,0.9610147357081529,0.9472264703384149,1.0744741675479361,0.9518419568789422,0.830305459095565,0.4670159647096261,0.4248837330686404,0.8046959001322921,1.125008665590065,0.8146445550665101,0.46463024623258814,1.1556319616989756,1.3777417478467393
1H4_HenryV,2.320998546365398,2.5166130735308245,2.2827426219119853,2.211264855153211,3.413650740165011,2.118425284294278,2.071696956615714,1.462211212876189,2.2269234782984575,2.524687774280377,2.174697798163066,1.602897917262276,1.8245234497772476,2.352073434733126,2.3417960414875614,1.6668883411366233,1.9531184391213245,1.9784822700346818,2.3732331095677313,1.983948477035848,2.4545482333622552,1.7454225706292792,2.045864926765418,2.3142258290810456,1.882739078758155,1.5138476384117183,2.0441998795954777,2.2039824437646125,2.207970021367544,1.7644792500279787,2.0170381620140674,2.024626801364567,1.5909154053272299,1.28042502041706,2.1190391913193323,2.0968019738969152,1.2670539105182883,1.4200903648391396,-0.1999336374110467
1H4_Hotspur,2.3836269821659446,1.7533465675326139,2.3048419643884355,2.0571544863540763,1.9907459561207181,1.856654955665101,1.7475583098406007,1.541376877020788,2.471733826719213,1.8161784206185905,2.0931561472636897,2.262025021769656,2.198063049122978,1.802426287968665,1.8643788089400943,2.4284504668914777,2.2301642599887432,1.9441125469853506,2.2100114511997577,2.4495774276836553,2.34197056094393,2.1208293602602604,2.324126574352694,2.650601735272223,1.9276162557342236,0.7887685106287595,2.072334558657486,1.938130218616763,1.8947672196542316,1.7935020104975872,2.095246907478611,2.024626801364567,2.135063519047905,1.5699992675469188,2.224289482278902,2.068928986531037,1.0482110929858246,2.0932572091959205,0.8518499527608107
1H4_LadyPercy,-0.6601149977406048,-0.7170106185476169,-0.6868565233609555,-0.7405414395379071,-0.639471978021762,-0.576269275123723,-0.6774789734398765,-0.6752617190279855,-0.7307852209890401,-0.641263932172289,-0.6718471059606089,-0.8009774050587558,-0.7625841456913307,-0.6878118055356266,-0.642061661934107,-0.7412945970611593,-0.7350917914828475,-0.6679864047638097,-0.6735711799677755,-0.7539497527732585,-0.669482176246276,-0.7224155054694668,-0.6462326998922039,-0.7692199776714169,-0.7201371858538108,-0.8426595268828982,-0.7692680266053656,-0.725225709682602,-0.6705128705690926,-0.818546431767173,-0.6624614652059325,-0.46013334282307705,-0.7411479391899489,-0.6742011477094865,-0.6408573271760453,-0.7276607458454267,-0.5748731370466145,-0.7196185332949141,0.32595815767488195
