R:A::C:P,0 1,2 3,4,5 6
0 1,0.75,0.5113636363636364,0.49122807017543857,0.4936708860759494
2 3,0.19078947368421054,0.3409090909090909,0.2807017543859649,0.35443037974683544
4,0.013157894736842105,0.03409090909090909,0.12280701754385964,0.02531645569620253
5 6,0.046052631578947366,0.11363636363636363,0.10526315789473684,0.12658227848101267
