R:A::C:P,0,1 3,2,4 5
0,0.36363636363636365,0.25,0.045454545454545456,0.5
1 3,0.45454545454545453,0.4375,0.6363636363636364,0.25
2,0.18181818181818182,0.28125,0.2727272727272727,0.0
4 5,0.0,0.03125,0.045454545454545456,0.25
