R:A::C:P,comedy,history,tragedy
comedy,0.7484662576687117,0.22900763358778625,0.26262626262626265
history,0.07975460122699386,0.5954198473282443,0.21212121212121213
tragedy,0.17177914110429449,0.17557251908396945,0.5252525252525253
