R:A::C:P,comedy,history,tragedy
comedy,0.6853932584269663,0.16853932584269662,0.14606741573033707
history,0.11607142857142858,0.6964285714285714,0.1875
tragedy,0.27184466019417475,0.22330097087378642,0.5048543689320388
