                               Overall Accuracy:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                    0123-4-5-6   75.47%     30.75%     27.28%     5.47%   
                    0124-3-5-6   67.92%     25.29%     23.02%     1.43%   
                    0125-3-4-6   66.04%     35.34%     28.48%     11.12%  
                    0134-2-5-6   65.41%     26.05%     26.86%     6.52%   
                    0-1234-5-6   63.52%     29.94%     30.04%     10.88%  
                    0-1235-4-6   62.89%     40.25%     35.86%     19.49%  
                    014-23-5-6   61.64%     30.77%     30.51%     13.50%  
                    04-123-5-6   61.01%     32.21%     31.28%     14.34%  
                    012-34-5-6   60.38%     31.72%     25.62%     7.83%   
                    0126-3-4-5   59.75%     33.81%     27.23%     8.40%   
                    0135-2-4-6   59.75%     34.70%     30.97%     9.29%   
                    012-3-4-56   58.49%     37.67%     29.49%     11.53%  
                    012-35-4-6   58.49%     33.18%     27.19%     8.67%   
                    012-36-4-5   58.49%     34.70%     27.85%     9.62%   
                    0145-2-3-6   58.49%     30.91%     28.62%     10.99%  
                    0-1236-4-5   57.86%     38.79%     34.81%     17.78%  
                    012-3-45-6   57.86%     29.61%     24.88%     6.12%   
                    012-3-46-5   57.86%     31.12%     26.06%     7.41%   
                    015-23-4-6   57.86%     39.88%     34.99%     18.26%  
                    05-123-4-6   57.86%     39.08%     34.33%     17.25%  
                    013-25-4-6   57.23%     36.01%     32.16%     11.35%  
                    0-123-4-56   56.60%     42.56%     37.00%     20.27%  
                    01-234-5-6   56.60%     30.48%     29.58%     12.81%  
                    01-235-4-6   56.60%     40.63%     35.29%     19.69%  
                    014-25-3-6   56.60%     32.44%     30.07%     13.25%  
                    06-123-4-5   56.60%     38.42%     34.44%     17.34%  
                    0-123-45-6   55.97%     34.50%     32.39%     14.85%  
                    0-123-46-5   55.97%     36.02%     33.57%     16.14%  
                    013-24-5-6   55.35%     24.67%     25.25%     2.60%   
                    013-26-4-5   55.35%     34.40%     31.19%     10.39%  
                    0136-2-4-5   55.35%     33.48%     30.21%     8.60%   
                    01-236-4-5   54.72%     39.64%     35.09%     19.25%  
                    013-2-4-56   54.72%     37.50%     32.65%     12.04%  
                    014-26-3-5   54.72%     30.83%     29.10%     12.29%  
                    013-2-45-6   54.09%     29.44%     28.04%     6.63%   
                    013-2-46-5   54.09%     30.96%     29.22%     7.92%   
                    014-2-3-56   54.09%     33.93%     30.57%     13.94%  
                    014-2-35-6   54.09%     29.44%     28.27%     11.08%  
                    014-2-36-5   54.09%     30.96%     28.92%     12.03%  
                    0146-2-3-5   54.09%     29.69%     27.86%     10.03%  
                    01-23-4-56   53.46%     42.71%     36.70%     20.80%  
                    016-23-4-5   53.46%     38.52%     34.01%     17.10%  
                    01-23-45-6   52.83%     34.65%     32.09%     15.39%  
                    01-23-46-5   52.83%     36.17%     33.27%     16.68%  
                    015-2-34-6   52.20%     37.09%     31.18%     14.99%  
                    0234-1-5-6   52.20%     26.01%     25.43%     6.03%   
                    0-1245-3-6   50.94%     32.76%     29.33%     8.90%   
                    015-24-3-6   50.94%     30.21%     27.65%     9.26%   
                    015-26-3-4   50.94%     39.94%     33.58%     17.04%  
                    0156-2-3-4   50.94%     39.05%     32.62%     15.56%  
                    04-125-3-6   50.94%     35.62%     31.05%     14.73%  
                    01-25-34-6   50.31%     38.43%     32.39%     16.85%  
                    015-2-36-4   50.31%     40.07%     33.41%     16.79%  
                    01-256-3-4   49.69%     41.67%     35.10%     19.43%  
                    015-2-3-46   49.69%     36.50%     31.62%     14.58%  
                    01-245-3-6   49.06%     30.95%     28.20%     10.50%  
                    0235-1-4-6   49.06%     34.96%     30.03%     10.90%  
                    0-125-34-6   48.43%     40.02%     32.90%     16.95%  
                    0-1345-2-6   48.43%     32.80%     32.51%     10.83%  
                    01-25-36-4   48.43%     41.41%     34.61%     18.64%  
                    01-26-34-5   48.43%     36.83%     31.42%     15.88%  
                    016-25-3-4   48.43%     40.19%     33.57%     16.85%  
                    02-134-5-6   48.43%     24.92%     25.59%     2.77%   
                    024-13-5-6   48.43%     25.19%     25.71%     3.22%   
                    034-12-5-6   48.43%     28.22%     25.82%     8.23%   
                    0-1256-3-4   47.80%     42.27%     34.69%     18.29%  
                    0-134-25-6   47.80%     34.39%     34.02%     13.18%  
                    01-2-34-56   47.80%     39.93%     32.88%     17.54%  
                    01-2-345-6   47.80%     33.58%     29.68%     13.44%  
                    01-2-346-5   47.80%     35.32%     30.60%     14.75%  
                    01-25-3-46   47.80%     37.84%     32.83%     16.43%  
