R:A::C:P,0 4,1,2,3 5,6
0 4,0.4375,0.125,0.13392857142857142,0.23214285714285715,0.07142857142857142
1,0.29642857142857143,0.25,0.125,0.20357142857142857,0.125
2,0.27906976744186046,0.18023255813953487,0.1744186046511628,0.29069767441860467,0.0755813953488372
3 5,0.24299065420560748,0.14018691588785046,0.1308411214953271,0.3364485981308411,0.14953271028037382
6,0.32727272727272727,0.15454545454545454,0.10909090909090909,0.2545454545454545,0.15454545454545454
