                               Overall Accuracy:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                     0-123-4-5   65.00%     41.56%     45.62%     27.33%  
                     01-23-4-5   63.75%     45.45%     48.16%     32.79%  
                     023-1-4-5   50.00%     37.13%     40.54%     18.89%  
                     05-1-23-4   45.00%     48.99%     50.19%     32.61%  
                     0-15-23-4   45.00%     48.18%     49.90%     31.78%  
                     0-1-234-5   43.75%     35.18%     33.18%     14.17%  
                     04-1-23-5   42.50%     34.70%     32.64%     13.30%  
                     0-14-23-5   42.50%     34.81%     32.56%     13.20%  
                     0-1-235-4   42.50%     46.28%     47.91%     29.37%  
                     0-1-23-45   42.50%     42.85%     39.31%     20.19%  


                               Average Accuracy:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                     05-1-23-4   45.00%     48.99%     50.19%     32.61%  
                     0-15-23-4   45.00%     48.18%     49.90%     31.78%  
                     0-1-235-4   42.50%     46.28%     47.91%     29.37%  
                     01-23-4-5   63.75%     45.45%     48.16%     32.79%  
                     0-1-23-45   42.50%     42.85%     39.31%     20.19%  
                     0-123-4-5   65.00%     41.56%     45.62%     27.33%  
                     023-1-4-5   50.00%     37.13%     40.54%     18.89%  
                     0-1-234-5   43.75%     35.18%     33.18%     14.17%  
                     0-14-23-5   42.50%     34.81%     32.56%     13.20%  
                     04-1-23-5   42.50%     34.70%     32.64%     13.30%  


                               Average F1 Score:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                     05-1-23-4   45.00%     48.99%     50.19%     32.61%  
                     0-15-23-4   45.00%     48.18%     49.90%     31.78%  
                     01-23-4-5   63.75%     45.45%     48.16%     32.79%  
                     0-1-235-4   42.50%     46.28%     47.91%     29.37%  
                     0-123-4-5   65.00%     41.56%     45.62%     27.33%  
                     023-1-4-5   50.00%     37.13%     40.54%     18.89%  
                     0-1-23-45   42.50%     42.85%     39.31%     20.19%  
                     0-1-234-5   43.75%     35.18%     33.18%     14.17%  
                     04-1-23-5   42.50%     34.70%     32.64%     13.30%  
                     0-14-23-5   42.50%     34.81%     32.56%     13.20%  


                   Average Matthews Correlation Coefficient:                    

                      Grouping  Overall    Average    F1 Score     MCC    
                     01-23-4-5   63.75%     45.45%     48.16%     32.79%  
                     05-1-23-4   45.00%     48.99%     50.19%     32.61%  
                     0-15-23-4   45.00%     48.18%     49.90%     31.78%  
                     0-1-235-4   42.50%     46.28%     47.91%     29.37%  
                     0-123-4-5   65.00%     41.56%     45.62%     27.33%  
                     0-1-23-45   42.50%     42.85%     39.31%     20.19%  
                     023-1-4-5   50.00%     37.13%     40.54%     18.89%  
                     0-1-234-5   43.75%     35.18%     33.18%     14.17%  
                     04-1-23-5   42.50%     34.70%     32.64%     13.30%  
                     0-14-23-5   42.50%     34.81%     32.56%     13.20%  
