R:C::C:G,0,1,2,3,4,5
0,0.375,0.0,0.25,0.18181818181818182,0.3333333333333333,0.26666666666666666
1,0.375,0.6363636363636364,0.4,0.6363636363636364,0.4,0.3333333333333333
2,0.125,0.2727272727272727,0.3,0.18181818181818182,0.2,0.26666666666666666
3,0.0,0.09090909090909091,0.05,0.0,0.0,0.06666666666666667
4,0.125,0.0,0.0,0.0,0.0,0.06666666666666667
5,0.0,0.0,0.0,0.0,0.06666666666666667,0.0
