R:A::C:P,0 6,1 3,2,4 5
0 6,0.36774193548387096,0.24301075268817204,0.1010752688172043,0.28817204301075267
1 3,0.33540372670807456,0.3333333333333333,0.11180124223602485,0.2194616977225673
2,0.28,0.3236363636363636,0.14909090909090908,0.24727272727272728
4 5,0.2485207100591716,0.28994082840236685,0.15384615384615385,0.3076923076923077
