R:A::C:P,0,1 5,2 3 4,6
0,0.12598425196850394,0.0594059405940594,0.029850746268656716,0.010101010101010102
1 5,0.42913385826771655,0.37376237623762376,0.30970149253731344,0.25757575757575757
2 3 4,0.25196850393700787,0.3094059405940594,0.3805970149253731,0.2878787878787879
6,0.19291338582677164,0.25742574257425743,0.2798507462686567,0.4444444444444444
