R:A::C:P,0 1,2 3,4 5 6
0 1,0.5102040816326531,0.25510204081632654,0.23469387755102042
2 3,0.296551724137931,0.4068965517241379,0.296551724137931
4 5 6,0.26436781609195403,0.25287356321839083,0.4827586206896552
