R:A::C:P,0 1,2,3 4,5,6
0 1,0.75,0.49019607843137253,0.5106382978723404,0.36,0.5555555555555556
2,0.17763157894736842,0.2549019607843137,0.20212765957446807,0.24,0.2962962962962963
3 4,0.02631578947368421,0.1568627450980392,0.1702127659574468,0.16,0.07407407407407407
5,0.02631578947368421,0.0392156862745098,0.05319148936170213,0.12,0.05555555555555555
6,0.019736842105263157,0.058823529411764705,0.06382978723404255,0.12,0.018518518518518517
