R:A::C:P,0 1,2 4,3,5,6
0 1,0.6511627906976745,0.20930232558139536,0.06976744186046512,0.06976744186046512,0.0
2 4,0.2903225806451613,0.41935483870967744,0.16129032258064516,0.0967741935483871,0.03225806451612903
3,0.0,0.4,0.4,0.0,0.2
5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0
6,0.0,0.0,1.0,0.0,0.0
