R:A::C:P,0,1 2 3,4,5 6
0,0.12598425196850394,0.05,0.031578947368421054,0.019021739130434784
1 2 3,0.5826771653543307,0.5948275862068966,0.5210526315789473,0.45108695652173914
4,0.031496062992125984,0.05862068965517241,0.08421052631578947,0.04076086956521739
5 6,0.25984251968503935,0.296551724137931,0.3631578947368421,0.4891304347826087
