R:A::C:P,antag,fool,protag
antag,0.3793103448275862,0.1724137931034483,0.4482758620689655
fool,0.17391304347826086,0.6521739130434783,0.17391304347826086
protag,0.2571428571428571,0.17142857142857143,0.5714285714285714
