                               Overall Accuracy:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                    0123-4-5-6   63.69%     24.03%     25.04%     4.07%   
                    0124-3-5-6   61.98%     27.32%     27.12%     5.38%   
                    0125-3-4-6   60.27%     26.72%     26.67%     4.07%   
                    0126-3-4-5   59.13%     20.98%     21.80%     -1.07%  
                    012-35-4-6   54.75%     29.43%     28.62%     8.63%   
                    012-3-46-5   54.75%     28.80%     27.56%     7.61%   
                    012-3-45-6   54.56%     31.69%     29.82%     9.98%   
                    012-36-4-5   53.61%     23.51%     24.15%     3.60%   
                    012-3-4-56   53.42%     25.74%     25.57%     5.12%   
                    012-34-5-6   52.66%     24.96%     25.38%     4.57%   


                               Average Accuracy:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                    012-3-45-6   54.56%     31.69%     29.82%     9.98%   
                    012-35-4-6   54.75%     29.43%     28.62%     8.63%   
                    012-3-46-5   54.75%     28.80%     27.56%     7.61%   
                    0124-3-5-6   61.98%     27.32%     27.12%     5.38%   
                    0125-3-4-6   60.27%     26.72%     26.67%     4.07%   
                    012-3-4-56   53.42%     25.74%     25.57%     5.12%   
                    012-34-5-6   52.66%     24.96%     25.38%     4.57%   
                    0123-4-5-6   63.69%     24.03%     25.04%     4.07%   
                    012-36-4-5   53.61%     23.51%     24.15%     3.60%   
                    0126-3-4-5   59.13%     20.98%     21.80%     -1.07%  


                               Average F1 Score:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                    012-3-45-6   54.56%     31.69%     29.82%     9.98%   
                    012-35-4-6   54.75%     29.43%     28.62%     8.63%   
                    012-3-46-5   54.75%     28.80%     27.56%     7.61%   
                    0124-3-5-6   61.98%     27.32%     27.12%     5.38%   
                    0125-3-4-6   60.27%     26.72%     26.67%     4.07%   
                    012-3-4-56   53.42%     25.74%     25.57%     5.12%   
                    012-34-5-6   52.66%     24.96%     25.38%     4.57%   
                    0123-4-5-6   63.69%     24.03%     25.04%     4.07%   
                    012-36-4-5   53.61%     23.51%     24.15%     3.60%   
                    0126-3-4-5   59.13%     20.98%     21.80%     -1.07%  


                   Average Matthews Correlation Coefficient:                    

                      Grouping  Overall    Average    F1 Score     MCC    
                    012-3-45-6   54.56%     31.69%     29.82%     9.98%   
                    012-35-4-6   54.75%     29.43%     28.62%     8.63%   
                    012-3-46-5   54.75%     28.80%     27.56%     7.61%   
                    0124-3-5-6   61.98%     27.32%     27.12%     5.38%   
                    012-3-4-56   53.42%     25.74%     25.57%     5.12%   
                    012-34-5-6   52.66%     24.96%     25.38%     4.57%   
                    0123-4-5-6   63.69%     24.03%     25.04%     4.07%   
                    0125-3-4-6   60.27%     26.72%     26.67%     4.07%   
                    012-36-4-5   53.61%     23.51%     24.15%     3.60%   
                    0126-3-4-5   59.13%     20.98%     21.80%     -1.07%  
