R:A::C:P,0 1 2 3,4,5 6
0 1 2 3,0.941747572815534,0.9166666666666666,0.9090909090909091
4,0.019417475728155338,0.08333333333333333,0.09090909090909091
5 6,0.038834951456310676,0.0,0.0
