R:A::C:P,antag,fool,protag
antag,0.41379310344827586,0.0,0.5862068965517241
fool,0.21739130434782608,0.6521739130434783,0.13043478260869565
protag,0.37142857142857144,0.05714285714285714,0.5714285714285714
