R:A::C:P,0,1 6,2 3 4 5
0,0.08502024291497975,0.032388663967611336,0.05263157894736842
1 6,0.13765182186234817,0.10931174089068826,0.2388663967611336
2 3 4 5,0.04048582995951417,0.08906882591093117,0.2145748987854251
