R:A::C:P,0,1 3 5 6,2,4
0,0.3230769230769231,0.1111111111111111,0.09090909090909091,0.16666666666666666
1 3 5 6,0.5538461538461539,0.5740740740740741,0.6363636363636364,0.4666666666666667
2,0.1076923076923077,0.28703703703703703,0.22727272727272727,0.2
4,0.015384615384615385,0.027777777777777776,0.045454545454545456,0.16666666666666666
