R:A::C:P,0 3,1,2 4 5 6
0 3,0.2692307692307692,0.15254237288135594,0.20320855614973263
1,0.49230769230769234,0.5254237288135594,0.37967914438502676
2 4 5 6,0.23846153846153847,0.3220338983050847,0.41711229946524064
