R:A::C:P,0 1,2,3,4,5 6
0 1,0.30319148936170215,0.06648936170212766,0.05319148936170213,0.07446808510638298,0.10372340425531915
2,0.07180851063829788,0.034574468085106384,0.02127659574468085,0.02925531914893617,0.05851063829787234
3,0.005319148936170213,0.015957446808510637,0.007978723404255319,0.013297872340425532,0.015957446808510637
4,0.005319148936170213,0.005319148936170213,0.0026595744680851063,0.018617021276595744,0.005319148936170213
5 6,0.018617021276595744,0.013297872340425532,0.013297872340425532,0.015957446808510637,0.026595744680851064
