R:A::C:P,0 4 5,1 6,2 3
0 4 5,0.6739130434782609,0.13043478260869565,0.1956521739130435
1 6,0.4166666666666667,0.25,0.3333333333333333
2 3,0.2682926829268293,0.17073170731707318,0.5609756097560976
