R:A::C:P,0,1,2,3 4 5 6
0,0.16911764705882354,0.08843537414965986,0.05660377358490566,0.07908163265306123
1,0.4411764705882353,0.47619047619047616,0.330188679245283,0.29336734693877553
2,0.16911764705882354,0.2108843537414966,0.2830188679245283,0.22448979591836735
3 4 5 6,0.22058823529411764,0.22448979591836735,0.330188679245283,0.4030612244897959
