R:A::C:P,0,1 4,2 3 5
0,0.42105263157894735,0.3684210526315789,0.21052631578947367
1 4,0.2631578947368421,0.2894736842105263,0.4473684210526316
2 3 5,0.17391304347826086,0.17391304347826086,0.6521739130434783
