R:A::C:P,0,1 2,3 5,4
0,0.42105263157894735,0.42105263157894735,0.15789473684210525,0.0
1 2,0.2545454545454545,0.5454545454545454,0.2,0.0
3 5,0.0,1.0,0.0,0.0
4,0.0,0.5,0.0,0.5
