R:A::C:P,0,1 2,3 5,4
0,0.36363636363636365,0.18604651162790697,0.21428571428571427,0.0
1 2,0.6363636363636364,0.6976744186046512,0.7857142857142857,0.0
3 5,0.0,0.09302325581395349,0.0,0.0
4,0.0,0.023255813953488372,0.0,1.0
