R:A::C:P,0,1 3 5,2,4,6
0,0.40476190476190477,0.12857142857142856,0.08,0.3684210526315789,0.0
1 3 5,0.4523809523809524,0.5571428571428572,0.56,0.42105263157894735,0.3333333333333333
2,0.09523809523809523,0.2714285714285714,0.32,0.05263157894736842,0.6666666666666666
4,0.023809523809523808,0.02857142857142857,0.04,0.15789473684210525,0.0
6,0.023809523809523808,0.014285714285714285,0.0,0.0,0.0
