R:A::C:P,0,1,2,3,4,5,6
0,32,19,7,3,6,5,2
1,92,101,39,34,50,25,40
2,39,50,41,39,34,34,38
3,17,11,15,15,15,16,13
4,8,5,16,13,16,9,6
5,17,12,10,19,14,13,11
6,49,36,40,55,55,68,88
