R:A::C:P,0 3 4 6,1 2,5
0 3 4 6,0.2823275862068966,0.10704022988505747,0.07040229885057471
1 2,0.2629310344827586,0.16594827586206898,0.042385057471264365
5,0.04382183908045977,0.015804597701149427,0.009339080459770116
