R:A::C:P,0 1,2 3 4,5 6
0 1,0.5,0.2593283582089552,0.1956521739130435
2 3 4,0.26639344262295084,0.3805970149253731,0.31521739130434784
5 6,0.2336065573770492,0.36007462686567165,0.4891304347826087
