R:A::C:P,0,1,2,3,4,5,6
0,28,12,10,6,5,5,2
1,67,43,40,19,27,19,11
2,17,20,24,21,10,9,10
3,3,3,9,5,2,7,5
4,3,2,5,1,0,7,6
5,6,2,2,7,6,0,3
6,6,4,4,3,8,4,8
