character,actual,predicted
Tro_Nestor,m,m
Tro_Pandarus,m,f
Tro_Thersites,m,m
Tro_Troilus,m,m
Tro_Ulysses,m,m
WT_Autolycus,m,m
WT_Camillo,m,m
WT_Florizell,m,m
WT_Hermione,f,f
WT_Leontes,m,m
WT_Paulina,f,f
WT_Polixenes,m,m
WT_Shepherd,m,f
WT_ShepherdsSon,m,m
Wiv_Falstaff,m,f
Wiv_HughEvans,m,m
Wiv_MasterFord,m,m
Wiv_MasterPage,m,m
Wiv_MistressFord,f,f
Wiv_MistressPage,f,m
Wiv_MistressQuickly,f,m
Wiv_Slender,m,f
