R:A::C:P,0 3,1 5 6,2,4
0 3,0.3806818181818182,0.375,0.125,0.11931818181818182
1 5 6,0.3064516129032258,0.4539170506912442,0.10253456221198157,0.13709677419354838
2,0.28363636363636363,0.44363636363636366,0.14909090909090908,0.12363636363636364
4,0.2876712328767123,0.273972602739726,0.2191780821917808,0.2191780821917808
